工廠,儲存地點代號,地點描述(中),地址(中),地址(英),地點描述(英),更新資訊
GTM1,2065,塗料倉-保稅,台中市大甲區順帆路19號-南倉旁塗料室,"19, ShunFarn Rd, Dajia District",Paint-GB,Allen Zou 鄧芳筆 -2024/03/20
GTM1,2070,報廢倉-保稅,台中市大甲區順帆路19號-南倉旁報廢區,"19, ShunFarn Rd, Dajia District",Scrapped-GB,Allen Zou 鄧芳筆 -2024/03/21
GTM1,2080,原料樣品倉-保稅,台中市大甲區順帆路19號-各倉樣品區,"19, ShunFarn Rd, Dajia District",Sample-SB,Allen Zou 鄧芳筆 -2024/03/22
GTM1,2090,原料客製倉-保稅,台中市大甲區順帆路19號-各倉客製區,"19, ShunFarn Rd, Dajia District",Customized-CB,Allen Zou 鄧芳筆 -2024/03/23
GTM1,20NG,不良品倉-保稅,台中市大甲區順帆路19號-各倉不良品區,"19, ShunFarn Rd, Dajia District",NG-GB,Allen Zou 鄧芳筆 -2024/03/24
GTM1,2110,幼獅外倉1(WM),久鼎:台中市大甲區青年路137號,"137, Qingnian Rd., Dajia Dist.",Youshi WH1(WM),Allen Zou 鄧芳筆 -2024/03/25
GTM1,2120,幼獅外倉2,久鼎:台中市大甲區青年路137號,"137, Qingnian Rd., Dajia Dist.",Youshi WH2,Allen Zou 鄧芳筆 -2024/03/26
GTM1,2130,幼獅外倉3,北裕:台中市大甲區中山路二段903號,"903, Sec. 2, Zhongshan Rd., Dajia Dist.",Youshi WH3,Allen Zou 鄧芳筆 -2024/03/27
GTM1,2210,塗架Floor-保稅,台中市大甲區順帆路19號-各塗裝線,"19, ShunFarn Rd, Dajia District",Painted Frame Floor-GB,Allen Zou 鄧芳筆 -2024/03/28
GTM1,2220,輪組Floor-保稅,台中市大甲區順帆路19號-鋼圈區,"19, ShunFarn Rd, Dajia District",Wheelset Floor-GB,Allen Zou 鄧芳筆 -2024/03/29
GTM1,2230,車架Floor-保稅,台中市大甲區順帆路19號-AL黑身車架區,"19, ShunFarn Rd, Dajia District",Frame Floor-GB,Allen Zou 鄧芳筆 -2024/03/30
GTM1,2241,紙箱線邊1-保稅,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 1-GB,Allen Zou 鄧芳筆 -2024/03/31
GTM1,2242,紙箱線邊2-保稅,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 2-GB,Allen Zou 鄧芳筆 -2024/03/32
GTM1,2243,紙箱線邊3-保稅,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 3-GB,Allen Zou 鄧芳筆 -2024/03/33
GTM1,2244,紙箱線邊4-保稅,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 4-GB,Allen Zou 鄧芳筆 -2024/03/34
